==================================================
RESOLUTION STATISTICS
==================================================

REAL Category:
------------------------------
Total videos: 7000
  200x360: 1 (0.0%)
  194x144: 1 (0.0%)
  480x264: 1 (0.0%)
  198x360: 1 (0.0%)
  1262x720: 1 (0.0%)
  448x252: 1 (0.0%)
  544x360: 1 (0.0%)
  256x224: 1 (0.0%)
  480x480: 1 (0.0%)
  600x480: 1 (0.0%)
  982x720: 1 (0.0%)
  538x360: 1 (0.0%)
  806x480: 1 (0.0%)
  268x480: 1 (0.0%)
  1152x720: 1 (0.0%)
  1062x720: 1 (0.0%)
  408x720: 1 (0.0%)
  208x156: 1 (0.0%)
  590x360: 1 (0.0%)
  160x144: 1 (0.0%)
  472x360: 1 (0.0%)
  886x720: 1 (0.0%)
  240x240: 1 (0.0%)
  262x360: 1 (0.0%)
  634x360: 1 (0.0%)
  570x480: 1 (0.0%)
  392x288: 1 (0.0%)
  360x240: 1 (0.0%)
  646x360: 1 (0.0%)
  294x240: 1 (0.0%)
  640x576: 1 (0.0%)
  478x360: 1 (0.0%)
  474x360: 1 (0.0%)

FAKE Category:
------------------------------
Total videos: 17406
  704x544: 10000 (57.5%)
  1024x576: 1204 (6.9%)
  512x320: 1044 (6.0%)
  672x384: 714 (4.1%)
  576x320: 709 (4.1%)
  1184x672: 626 (3.6%)
  1280x720: 561 (3.2%)
  1408x768: 513 (2.9%)
  1024x640: 509 (2.9%)
  896x504: 356 (2.0%)
  512x512: 211 (1.2%)
  448x256: 188 (1.1%)
  896x512: 145 (0.8%)
  512x896: 82 (0.5%)
  384x384: 81 (0.5%)
  512x256: 47 (0.3%)
  704x256: 36 (0.2%)
  1048x1048: 36 (0.2%)
  256x256: 35 (0.2%)
  1920x1080: 24 (0.1%)
  448x448: 23 (0.1%)
  768x448: 22 (0.1%)
  128x128: 21 (0.1%)
  854x480: 18 (0.1%)
  1552x528: 17 (0.1%)
  560x800: 15 (0.1%)
  1033x130: 14 (0.1%)
  320x320: 13 (0.1%)
  1024x1024: 13 (0.1%)
  256x448: 8 (0.0%)
  640x640: 7 (0.0%)
  320x512: 6 (0.0%)
  1920x1088: 5 (0.0%)
  2160x544: 4 (0.0%)
  434x482: 4 (0.0%)
  1292x646: 4 (0.0%)
  320x640: 4 (0.0%)
  800x800: 4 (0.0%)
  320x576: 4 (0.0%)
  720x1280: 3 (0.0%)
  408x512: 3 (0.0%)
  336x512: 3 (0.0%)
  2304x1024: 3 (0.0%)
  1920x550: 3 (0.0%)
  384x128: 3 (0.0%)
  480x480: 3 (0.0%)
  1920x600: 3 (0.0%)
  1900x400: 2 (0.0%)
  1280x374: 2 (0.0%)
  2160x524: 2 (0.0%)
  1920x414: 2 (0.0%)
  256x416: 2 (0.0%)
  2058x516: 2 (0.0%)
  704x128: 2 (0.0%)
  256x348: 2 (0.0%)
  600x600: 2 (0.0%)
  2286x1120: 2 (0.0%)
  1920x572: 2 (0.0%)
  884x720: 2 (0.0%)
  720x720: 1 (0.0%)
  640x480: 1 (0.0%)
  960x504: 1 (0.0%)
  1440x720: 1 (0.0%)
  1808x490: 1 (0.0%)
  1529x1071: 1 (0.0%)
  1280x372: 1 (0.0%)
  2160x704: 1 (0.0%)
  1496x516: 1 (0.0%)
  829x437: 1 (0.0%)
  1280x360: 1 (0.0%)
  1052x720: 1 (0.0%)
  2300x1024: 1 (0.0%)
  256x520: 1 (0.0%)
  256x460: 1 (0.0%)
  1280x376: 1 (0.0%)
  40x24: 1 (0.0%)
  960x324: 1 (0.0%)
  352x512: 1 (0.0%)
  512x600: 1 (0.0%)
  514x324: 1 (0.0%)
  2232x992: 1 (0.0%)
  829x460: 1 (0.0%)
  1892x1053: 1 (0.0%)
  1440x576: 1 (0.0%)
  1137x646: 1 (0.0%)
  1280x600: 1 (0.0%)
  384x512: 1 (0.0%)
  816x800: 1 (0.0%)
  1556x1073: 1 (0.0%)
  2160x680: 1 (0.0%)

==================================================
PER-DATASET STATISTICS
==================================================

Crafter:
--------------------
  1024x640: 509 (50.9%)
  1024x576: 491 (49.1%)

Gen2:
--------------------
  1408x768: 501 (50.1%)
  896x504: 356 (35.6%)
  896x512: 143 (14.3%)

HotShot:
--------------------
  672x384: 700 (100.0%)

InternVid-AES:
--------------------
  640x360: 450 (45.0%)
  1920x1080: 301 (30.1%)
  3840x2160: 136 (13.6%)
  1280x720: 20 (2.0%)
  2560x1440: 10 (1.0%)
  1080x1920: 9 (0.9%)
  640x480: 7 (0.7%)
  720x1280: 6 (0.6%)
  854x480: 4 (0.4%)
  360x360: 4 (0.4%)
  480x360: 3 (0.3%)
  3200x1800: 2 (0.2%)
  2048x1152: 2 (0.2%)
  1440x1080: 2 (0.2%)
  3840x2026: 2 (0.2%)
  640x358: 2 (0.2%)
  1920x1440: 2 (0.2%)
  636x360: 1 (0.1%)
  1920x1076: 1 (0.1%)
  1080x1080: 1 (0.1%)
  3840x1632: 1 (0.1%)
  460x258: 1 (0.1%)
  360x640: 1 (0.1%)
  2160x1080: 1 (0.1%)
  2048x1128: 1 (0.1%)
  3264x1836: 1 (0.1%)
  1428x1080: 1 (0.1%)
  1080x1350: 1 (0.1%)
  640x296: 1 (0.1%)
  1280x712: 1 (0.1%)
  3840x2060: 1 (0.1%)
  3812x2160: 1 (0.1%)
  320x240: 1 (0.1%)
  1424x1080: 1 (0.1%)
  848x480: 1 (0.1%)
  3780x2160: 1 (0.1%)
  720x720: 1 (0.1%)
  2048x858: 1 (0.1%)
  1920x998: 1 (0.1%)
  3840x1600: 1 (0.1%)
  3840x2076: 1 (0.1%)
  2880x2160: 1 (0.1%)
